Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,39.986353061174896,40.489237224924096,39.774857509538,40.479835510253906,102223600,0.0,0.0
2018-01-03 00:00:00-05:00,40.54328828814392,41.01797452323995,40.40934432017212,40.4727897644043,118071600,0.0,0.0
2018-01-04 00:00:00-05:00,40.545637963798164,40.764183034424285,40.4375433322358,40.66078567504883,89738400,0.0,0.0
2018-01-05 00:00:00-05:00,40.75713782259662,41.21067204985768,40.665490805467456,41.12372589111328,94640000,0.0,0.0
2018-01-08 00:00:00-05:00,40.97097396850586,41.26706344560852,40.87227389043468,40.97097396850586,82271200,0.0,0.0
2018-01-09 00:00:00-05:00,41.017976757349864,41.13782174424207,40.750085221111235,40.966278076171875,86336000,0.0,0.0
2018-01-10 00:00:00-05:00,40.69132417295086,40.959215624441406,40.65372449204269,40.95686340332031,95839600,0.0,0.0
2018-01-11 00:00:00-05:00,41.027364847417985,41.2388603783988,41.00386773444446,41.189510345458984,74670800,0.0,0.0
2018-01-12 00:00:00-05:00,41.4010162957621,41.6783095739959,41.27647043919152,41.61486053466797,101672400,0.0,0.0
2018-01-16 00:00:00-05:00,41.80519776267262,42.155338158660705,41.391611922628655,41.40336227416992,118263600,0.0,0.0
2018-01-17 00:00:00-05:00,41.39395372230317,42.12243236910456,41.140164816586015,42.08718490600586,137547200,0.0,0.0
2018-01-18 00:00:00-05:00,42.15063571508985,42.32218295258978,41.88744506184593,42.124786376953125,124773600,0.0,0.0
2018-01-19 00:00:00-05:00,41.97204174790951,42.19998492909617,41.69005125556937,41.93679428100586,129700400,0.0,0.0
2018-01-22 00:00:00-05:00,41.66420274454242,41.77699822657557,41.499708586222475,41.59370422363281,108434400,0.0,0.0
2018-01-23 00:00:00-05:00,41.664192570132855,42.167076637451515,41.55139711564439,41.603092193603516,130756400,0.0,0.0
2018-01-24 00:00:00-05:00,41.65245730262938,41.664207655116506,40.70073612243834,40.9404296875,204420400,0.0,0.0
2018-01-25 00:00:00-05:00,41.008572237319115,41.11196959260525,40.07330235344657,40.209598541259766,166116000,0.0,0.0
2018-01-26 00:00:00-05:00,40.41873655870212,40.41873655870212,39.962850235432136,40.3035888671875,156572000,0.0,0.0
2018-01-29 00:00:00-05:00,39.98635110572601,39.98635110572601,39.26022466106717,39.46936798095703,202561600,0.0,0.0
2018-01-30 00:00:00-05:00,38.898349975504864,39.33073577888027,38.70330556094093,39.23674011230469,184192800,0.0,0.0
2018-01-31 00:00:00-05:00,39.21322660539064,39.58216682698936,39.12628046289826,39.34482192993164,129915600,0.0,0.0
2018-02-01 00:00:00-05:00,39.28373254454275,39.624471271162726,39.18738466884133,39.42707824707031,188923200,0.0,0.0
2018-02-02 00:00:00-05:00,39.00878749383944,39.19678236757706,37.62233202321951,37.71632766723633,346375200,0.0,0.0
2018-02-05 00:00:00-05:00,37.387348564846725,38.51061364118392,36.658869593765594,36.774017333984375,290954000,0.0,0.0
2018-02-06 00:00:00-05:00,36.38392749864466,38.47301287893746,36.188883088080175,38.31086730957031,272975200,0.0,0.0
2018-02-07 00:00:00-05:00,38.32495111044428,38.39779825952906,37.38028322232744,37.490726470947266,206434400,0.0,0.0
2018-02-08 00:00:00-05:00,37.66698028754072,37.8338266910309,36.430919911345654,36.4591178894043,217562000,0.0,0.0
2018-02-09 00:00:00-05:00,37.06078435177872,37.25426208584625,35.44924037024393,36.90505599975586,282690400,0.1575,0.0
2018-02-12 00:00:00-05:00,37.39820877803747,38.6699836833218,37.164616146335554,38.391563415527344,243278000,0.0,0.0
2018-02-13 00:00:00-05:00,38.21221626021801,38.87287895956486,38.141430328087615,38.77613830566406,130196800,0.0,0.0
2018-02-14 00:00:00-05:00,38.46941763553242,39.53119625727271,38.43166824300534,39.491085052490234,162579600,0.0,0.0
2018-02-15 00:00:00-05:00,40.06207809815335,40.84071632897577,39.875678581235206,40.81712341308594,204588800,0.0,0.0
2018-02-16 00:00:00-05:00,40.66846762101277,41.248907996019206,40.52925755557384,40.68498229980469,160704400,0.0,0.0
2018-02-20 00:00:00-05:00,40.5953347328144,41.11678397015366,40.4466845808386,40.54814529418945,135722000,0.0,0.0
